Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
39,"Butler, Adam",NEP,DL,16.9,9.7,4.8,4.3,0.0,0.0,0.0,0.0,35.6
40,"Purcell, Mike",DEN,DL,22.0,17.8,0.7,2.8,0.0,0.0,0.0,0.0,35.0
41,"Davison, Tyeler",ATL,DL,21.1,21.0,1.1,0.1,0.0,0.5,0.5,0.0,34.9
42,"Williams, Brandon",BAL,DL,17.3,27.6,0.8,0.0,0.0,0.0,0.0,0.0,32.7
43,"Vea, Vita",TBB,DL,20.4,13.1,1.9,1.8,0.0,0.0,0.0,0.0,32.5
44,"Nnadi, Derrick",KCC,DL,15.5,20.8,1.1,1.7,0.5,0.3,0.0,0.0,31.1
45,"Robinson, A'Shawn",LAR,DL,19.8,8.4,2.4,1.4,0.0,0.3,0.3,0.0,30.8
46,"Dunn, Brandon",HOU,DL,17.3,19.1,0.2,1.6,1.0,0.0,0.0,0.0,30.8
47,"Jones, Justin",LAC,DL,20.9,10.5,1.1,1.2,0.0,1.1,0.0,0.0,30.7
48,"Bryan, Taven",JAC,DL,18.1,12.5,2.2,0.9,0.0,0.9,0.0,0.0,30.5
49,"Stewart, Grover",IND,DL,15.9,15.3,2.7,1.2,0.0,0.0,0.0,0.0,30.2
50,"Jones, DaQuan",TEN,DL,13.5,22.1,1.3,2.6,0.0,0.0,0.0,0.0,29.8
51,"Ford, Poona",SEA,DL,22.0,11.0,0.3,0.8,0.0,0.0,0.0,0.0,29.0
52,"Rankins, Sheldon",NOS,DL,14.3,7.5,2.7,2.5,0.0,0.4,0.0,0.0,26.2
53,"Butler, Vernon",BUF,DL,13.8,10.4,2.6,0.7,0.0,0.4,0.4,0.0,25.9
54,"Brown, Malcolm",NOS,DL,16.3,14.0,0.8,1.0,0.0,0.0,0.0,0.0,25.9
55,"Thomas, Solomon",SFO,DL,18.0,7.1,2.1,0.0,0.0,0.0,0.0,0.0,25.8
56,"Poe, Dontari",DAL,DL,16.7,8.3,2.2,0.0,0.0,0.0,0.0,0.0,25.2
57,"Tillery, Jerry",LAC,DL,13.2,12.3,2.5,0.7,0.0,0.0,0.0,0.0,25.1
58,"Johnson, Jaleel",MIN,DL,11.6,12.5,2.9,0.0,0.0,0.0,0.0,0.0,23.7
59,"Taylor, Vincent",CLE,DL,16.9,5.7,0.0,2.6,0.6,0.0,0.0,0.0,23.6
60,"Jenkins, John",CHI,DL,14.1,11.4,0.7,2.2,0.0,0.0,0.0,0.0,23.4
61,"Jones, D.J.",SFO,DL,18.5,2.2,1.2,0.0,0.0,1.0,0.0,0.0,23.1
62,"Covington, Christian",CIN,DL,18.5,5.0,0.3,0.7,0.0,0.0,0.0,0.0,22.2
63,"Fatukasi, Foley",NYJ,DL,14.3,11.7,0.2,1.2,0.0,0.0,0.0,0.0,21.8
64,"Saunders, Khalen",KCC,DL,14.7,10.7,0.2,1.2,0.0,0.0,0.0,0.0,21.6
65,"Stallworth, Taylor",IND,DL,13.3,7.9,0.0,1.1,0.0,0.0,0.0,0.0,18.3
66,"Jefferson, Quinton",BUF,DL,9.8,6.5,1.2,1.1,0.0,0.0,0.0,0.0,16.5
67,"Allen, Beau",NEP,DL,10.7,6.8,0.8,0.0,0.0,0.0,0.0,0.0,15.7
68,"Watts, Armon",MIN,DL,9.6,3.5,1.1,1.5,0.0,0.4,0.0,0.0,15.5
69,"Collins, Maliek",LVR,DL,8.4,6.2,1.5,0.8,0.0,0.0,0.0,0.0,15.3
70,"Hall, P.J.",HOU,DL,9.3,8.4,0.3,0.6,0.0,0.0,0.0,0.0,14.7
71,"Johnson, Austin",NYG,DL,8.5,10.5,0.0,0.9,0.0,0.0,0.0,0.0,14.7
72,"Settle, Tim",WAS,DL,8.7,3.2,1.3,0.0,0.0,1.1,0.0,0.0,14.0
73,"Blacklock, Ross",HOU,DL,9.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
74,"Kerr, Zach",CAR,DL,8.9,5.9,0.0,1.2,0.0,0.0,0.0,0.0,13.0
75,"Phillips, Harrison",BUF,DL,7.5,8.7,0.1,0.5,0.0,0.0,0.0,0.0,12.6
76,"Tuioti-Mariner, Jacob",ATL,DL,6.7,7.1,0.0,0.0,0.0,0.4,0.0,0.0,10.7
77,"Gaines, Greg",LAR,DL,6.0,7.9,0.1,0.0,0.0,0.0,0.0,0.0,10.3
78,"Ellis, Justin",BAL,DL,5.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,10.3
79,"Jackson, Malik",PHI,DL,6.0,1.8,1.7,0.0,0.0,0.0,0.0,0.0,10.3
80,"Day, Sheldon",IND,DL,5.9,3.8,0.3,0.0,0.0,0.0,0.0,0.0,8.3
81,"Lewis, Tyquan",IND,DL,5.7,2.9,0.5,0.0,0.0,0.0,0.0,0.0,8.2
82,"Rush, Anthony",SEA,DL,3.8,2.8,0.0,1.9,0.0,0.0,0.0,0.0,7.2
83,"Senat, Deadrin",ATL,DL,3.7,6.1,0.0,0.0,0.0,0.0,0.0,0.0,6.7
84,"Nunez-Roches, Rakeem",TBB,DL,4.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,6.3
85,"Wren, Renell",CIN,DL,4.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0,5.8
86,"Hill, Trysten",DAL,DL,4.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.2
87,"Strong, Kevin",DET,DL,0.6,2.4,0.0,1.3,0.0,0.0,0.0,0.0,3.1
88,"Mone, Bryan",SEA,DL,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.6
89,"Niles, Scott",CIN,DL,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
90,"Ridgeway, Hassan",PHI,DL,1.5,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.3
91,"Moore, Damontre",SEA,DL,0.6,0.9,0.0,0.0,0.0,0.3,0.0,0.0,1.3
92,"Russell, Dontavius",JAC,DL,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9
93,"Peko, Kyle",DEN,DL,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4
94,"Daniels, Mike",CIN,DL,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4
95,"Givens, Kevin",SFO,DL,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
96,"Cowart, Byron",NEP,DL,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
97,"Ivie, Joey",TEN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"Kilgo, Darius",DET,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"Walton, Leterrius",PIT,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

