Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
50,"Howard, Xavien",MIA,DB,33.3,12.5,0.0,9.1,3.1,0.0,0.0,0.0,0.0,0.0,54.8
51,"Arnette, Damon",LVR,DB,40.0,11.0,0.0,6.3,1.0,0.0,0.0,0.2,0.0,0.0,53.7
52,"Okudah, Jeff",DET,DB,42.8,11.0,0.4,4.0,0.4,0.0,0.0,0.0,0.0,0.0,53.5
53,"Conley, Gareon",HOU,DB,34.4,9.7,0.5,10.8,1.4,0.0,0.0,0.2,0.0,0.0,53.3
54,"Johnson, Taron",BUF,DB,40.3,11.1,1.2,4.9,0.0,1.2,0.0,0.0,0.0,0.0,53.1
55,"Butler, Malcolm",TEN,DB,34.2,10.2,0.4,9.4,1.8,0.0,0.0,0.2,10.0,5.0,52.6
56,"Desir, Pierre",NYJ,DB,36.9,12.4,0.3,6.6,1.2,0.0,0.0,0.2,0.0,0.0,52.5
57,"Moreau, Fabian",WAS,DB,33.8,15.2,0.0,6.5,1.9,0.0,0.0,0.0,0.0,0.0,51.7
58,"Moseley, Emmanuel",SFO,DB,39.0,4.0,0.0,6.7,1.3,0.3,0.3,0.2,0.0,0.0,51.0
59,"Brown, Anthony",DAL,DB,31.8,16.5,1.6,7.9,0.7,0.0,0.0,0.0,0.0,0.0,50.9
60,"Gilmore, Stephon",NEP,DB,31.6,6.1,0.0,11.0,2.2,0.4,0.4,0.2,0.0,0.0,50.8
61,"Yiadom, Isaac",NYG,DB,36.3,11.2,0.0,7.0,0.7,0.0,0.0,0.0,0.0,0.0,50.3
62,"Jackson, J.C.",NEP,DB,29.5,6.7,0.0,9.6,3.8,0.0,0.0,0.0,0.0,0.0,50.0
63,"McCourty, Jason",NEP,DB,36.2,9.9,0.0,6.1,1.0,0.7,0.0,0.0,0.0,0.0,49.9
64,"Joyner, Lamarcus",LVR,DB,41.6,9.1,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,49.8
