Player,Team,Bye,Rec,Yard,TD,Att,Yard,TD,FPts
Andy Isabella,ARI,8,18,0,0,0,0,0,36.1
Devin Duvernay,BAL,7,21,0,0,0,0,0,34.4
Equanimeous St. Brown,GB,5,18,0,0,0,0,0,33.6
Denzel Mims,NYJ,10,20,0,0,0,0,0,31.5
Scotty Miller,TB,13,21,0,0,0,0,0,31.5
Antonio Gandy-Golden,WAS,8,19,0,0,0,0,0,30.5
Cordarrelle Patterson,CHI,11,12,114,1,20,114,1,28.1
Trent Taylor,SF,11,19,0,0,0,0,0,28.0
Tajae Sharpe,MIN,7,16,0,0,0,0,0,27.9
Greg Ward,PHI,9,17,0,0,0,0,0,27.5
Andre Roberts,BUF,11,16,0,0,0,0,0,27.4
Christian Blake,ATL,10,14,0,0,0,0,0,26.4
KeeSean Johnson,ARI,8,16,0,0,0,0,0,26.2
Nelson Agholor,LV,6,15,0,0,0,0,0,24.9
Ted Ginn Jr.,CHI,11,14,0,0,0,0,0,24.6
Pharoh Cooper,CAR,13,14,0,0,0,0,0,24.4
Auden Tate,CIN,9,14,0,0,0,0,0,23.7
Javon Wims,CHI,11,14,0,0,0,0,0,21.5
KJ Hamler,DEN,5,11,0,0,0,0,0,20.2
Kalif Raymond,TEN,4,8,0,0,0,0,0,19.5
Deonte Harris,NO,6,12,0,0,0,0,0,19.1
Cody Core,NYG,11,9,0,0,0,0,0,18.3
Cedrick Wilson,DAL,10,11,0,0,0,0,0,13.6
Seth Roberts,CAR,13,7,0,0,0,0,0,8.6
Tyler Johnson,TB,13,6,0,0,0,0,0,8.6
K.J. Osborn,MIN,7,6,0,0,0,0,0,8.3
Justin Watson,TB,13,6,0,0,0,0,0,7.5
